gene,RNA,protein,
495,-0.148148516,-0.125885727,
496,-0.109588568,-0.160301017,
497,0.024422594,0.022884203,
498,-0.081697685,0.109049507,
499,-0.105595871,0.163278171,
500,-0.103805968,-0.195451176,
501,0.195900268,0.551121261,
502,0.378985285,0.433161285,
503,0.099091135,0.18028481,
504,0.005792319,0.230795979,
505,-0.071351864,-0.252537968,
506,0.279231421,0.384317743,
507,0.066722609,-0.120807233,
508,-0.057429917,-0.004766478,
509,0.029522789,0.557665997,
510,-0.044086843,-0.190133495,
511,-0.029819643,0.301322067,
512,-0.006300197,-0.191407643,
513,-0.085305764,-0.267012971,
514,-0.012643661,0.055762379,
515,0.005689887,0.34357263,
516,-0.176184007,-0.249975063,
517,-0.01836459,0.442263201,
518,-0.05412699,-0.014711457,
519,-0.060047793,-0.177104745,
520,0.040639929,-0.048447224,
521,0.10243122,0.032758703,
522,0.033618146,-0.186424076,
523,0.053421492,0.311557385,
524,-0.021769439,-0.198837744,
525,-0.035729072,-0.262096486,
526,0.102798111,0.353949988,
527,0.229406299,0.467462639,
528,0.016631908,0.041786808,
529,-0.031631221,0.090369987,
530,-0.063298126,-0.072075709,
531,-0.293092643,-0.028490129,
532,-1.950202667,0.065942938,
533,0.174253134,0.069581953,
534,0.139471724,0.076020434,
535,-0.015909512,0.059692445,
536,-0.164987014,-0.294949333,
537,0.00593603,0.173844291,
538,-0.160259684,0.02237783,
539,0.017184844,-0.028696267,
540,-0.078601072,-0.513319082,
541,-0.090541135,-0.09602767,
542,-0.089247505,-0.497067546,
543,-0.137069818,0.043689778,
544,-0.025359548,0.006551986,
545,0.009979173,-0.143201116,
546,0.021042266,0.040172529,
547,-0.18337351,-0.180655886,
548,-0.469842188,-0.229496163,
549,0.102481736,0.227388294,
550,-0.391400241,0.083125218,
551,0.207592756,0.324147053,
552,0.052496115,0.593349592,
553,-0.733379457,0.055697784,
554,-0.036611561,0.038303309,
555,0.185507033,0.025687058,
556,-0.08635159,-0.281714106,
557,0.005664133,0.202361419,
558,0.024099487,-0.033554506,
559,-0.014380633,0.190493585,
560,0.162127303,-0.301980016,
561,0.111391443,0.454916861,
562,0.06844524,-0.14567536,
563,-0.045301063,0.15105744,
564,0.028509444,-0.282837583,
565,0.071829821,0.204022467,
566,-0.046569747,-0.355109994,
567,0.115883666,0.164505838,
568,-0.092257481,-0.209672384,
569,0.036719287,0.132583668,
570,0.027262766,-0.222785757,
571,-0.004077363,0.097887963,
572,-0.230269944,-0.320763198,
573,0.034929934,0.313639001,
574,-0.011566255,0.163828195,
575,-0.112875062,-0.107218091,
576,-0.26608484,0.070469008,
577,0.00699458,-0.134798709,
578,0.09423065,0.291954357,
579,-0.067324568,0.047039665,
580,-0.456711976,0.425016878,
581,0.01450821,-0.122552526,
582,0.058026498,-0.193170285,
583,0.023132264,0.110187372,
584,-0.140011848,-0.495530465,
585,0.016250457,-0.006441451,
586,-0.027176537,0.048364122,
587,-0.01720309,-0.092582698,
588,-0.002183875,-0.211845317,
589,0.05267723,0.56373192,
590,0.064882461,-0.26974823,
591,-0.061697983,-0.110141036,
592,-0.231528863,-0.14567536,
593,-0.021694606,-0.042013462,
594,-0.018565812,-0.211845317,
595,0.04798346,-0.134993834,
596,0.084588801,0.728961167,
597,0.047372395,0.187215459,
598,-0.018763757,0.013682179,
599,-0.041236067,0.108221586,
600,0.018564079,-0.103600865,
601,0.084369413,-0.213673349,
602,-0.030241998,0.183613255,
603,-0.00356929,-0.130110249,
604,-0.093539438,-0.197669649,
605,-0.048216367,-0.112543024,
606,-0.05712882,0.114194523,
607,-0.013065354,0.345291945,
608,0.106184252,-0.055628809,
609,0.022148687,-0.169423023,
610,0.354690585,-0.330607762,
611,0.010625308,-0.108158642,
612,-0.115371968,0.094223577,
613,-0.012229238,-0.125593135,
614,0.035290294,-0.036772388,
615,0.03954277,0.178848866,
616,0.133714345,0.253273488,
617,0.044893285,0.280382555,
618,0.038483048,0.291714447,
619,0.011368455,-0.113833054,
620,-0.013760038,0.02361367,
621,1.787422457,3.18223253,
622,-0.015799634,-0.001904492,
623,-0.12634805,-0.08142586,
624,-0.136090667,-0.215552759,
625,0.057687271,0.049012175,
626,0.159763865,0.507662198,
627,-0.215174975,0.137791558,
628,0.050552774,-0.270822044,
629,-0.020709722,0.046609396,
630,-0.052830821,-0.022695834,
631,0.023787591,0.100515524,
632,0.057331568,0.023098765,
633,-0.049516657,0.10722122,
634,0.6080148,1.772630366,
635,-0.055245386,0.042817515,
636,0.075660923,0.426554667,
637,-0.210376386,0.198086317,
638,-0.060740307,-0.068852988,
639,0.226720125,0.538325592,
640,0.798963104,1.845280628,
641,-0.119949271,-0.359375659,
642,-0.039062579,-0.010591749,
643,-0.018104128,0.075117019,
644,-0.013198476,0.140622441,
645,0.144984479,0.135946145,
646,0.052859418,0.222567471,
647,-0.06672692,-0.154668185,
648,-0.039096326,-0.079918691,
649,-0.072108383,0.125939887,
650,-0.056895867,-0.01305259,
651,-0.039057193,0.177526853,
652,-0.01561354,-0.070779117,
653,-0.256107665,0.075486297,
654,-0.012691631,0.226275515,
655,0.187038666,0.877443959,
656,0.016228859,0.123207076,
657,0.002032116,-0.056608976,
658,0.224074231,0.110147849,
659,-0.186225879,0.159650848,
660,0.074799211,0.3402097,
661,0.835876498,1.80705777,
662,0.12124661,0.5448323,
663,0.072555995,0.11958161,
664,0.011457798,-0.158175068,
665,-0.021738837,-0.232476736,
666,0.367131842,-0.183644135,
667,-0.105121608,-0.238051389,
668,-0.117913042,0.031557965,
669,-0.115839579,0.128614012,
670,-0.022242146,-0.234333443,
