Gene names,ratio,P
AHRR,0.607428068,0.12316646
NLRP3,0.983732834,0.175707573
DNAJB5,1.147403197,0.073064583
HDAC4,0.950293011,0.068177345
SLC9A6,1.012802631,0.897219366
HGS,1.026270498,0.718904455
ITGB1,0.998823182,0.717056634
NACA,1.129271254,0.424217102
ACBD5,1.090329622,0.228290205
NDUFA10,1.05792088,0.204039777
MARK3,0.977693147,0.523571781
CTSC,1.029183197,0.606210125
HNRNPA3,1.059492132,0.696693228
IMPDH2,0.976927083,0.03710437
MTHFD2,1.093373728,0.088388504
,0.895218121,0.024475716
KPNA2,0.946247255,0.077066178
CAMLG,1.035218303,0.224173881
STAT5A,1.028249457,0.064277586
PABPN1,1.006127691,0.793492433
,0.971188327,0.654364103
KIF11,0.859522752,0.166901645
SCFD1,1.034047204,0.65734322
EIF3E,1.00083568,0.744742159
HNRNPA1,0.932043919,0.850982349
BCL2,0.83895272,0.008814849
BTF3,1.013923777,0.805450356
STAT3,1.076921301,0.062087824
ADAM9,0.962910521,0.205628302
ZFYVE26,0.735232772,0.018426622
SPECC1,1.018939057,0.83699709
NCL,1.050476034,0.141790882
DDX1,1.025234157,0.290678943
ST3GAL4,0.915613936,0.090974776
ZC3H13,1.020833706,0.814052178
CTSA,0.990064146,0.422979218
YKT6,0.997244442,0.850365987
PABPC4,1.007581342,0.99212223
,0.699384684,0.037324755
TBK1,1.046460108,0.241806002
NDUFS2,1.055217601,0.385110182
NMT1,0.966965034,0.250321143
NDUFA10,0.859487916,0.048357238
BCL2L1,0.993826806,0.650026836
PABPC4,0.997480832,0.814087592
MKRN2,1.043091189,0.237322162
,0.952449321,0.733424382
CTSL,1.070048339,0.053930744
PPIG,1.042834008,0.431209754
NEK9,0.996193143,0.848181514
GNAS,0.980656643,0.208997178
NPM1,1.02225956,0.703371477
ACO2,1.069548401,0.113371179
ABCA1,0.988104479,0.880353031
NONO,1.006519884,0.845771441
SGTA,0.945729004,0.139544817
EIF4G1,0.975827363,0.473893943
DICER1,0.969677198,0.409545104
UGP2,0.999803406,0.55719396
USP40,1.086097987,0.18695685
EIF3I,1.024517342,0.658459234
